strategy,spawn_probability,start,episode,success,reason,steps,spawned,bot_crashes
right_priority,0.005,"1,1",0,False,collision,203,4,2
right_priority,0.005,"1,1",1,False,collision,9,1,0
right_priority,0.005,"1,1",2,False,collision,318,10,0
right_priority,0.005,"1,1",3,False,timeout,350,10,2
right_priority,0.005,"1,1",4,False,collision,221,9,4
right_priority,0.005,"1,1",5,False,collision,235,11,0
right_priority,0.005,"1,1",6,False,collision,94,4,0
right_priority,0.005,"1,1",7,False,collision,182,6,2
right_priority,0.005,"1,1",8,False,timeout,350,9,2
right_priority,0.005,"1,1",9,False,timeout,350,9,0
right_priority,0.005,"1,1",10,True,delivered,136,6,4
right_priority,0.005,"1,1",11,False,collision,286,4,0
right_priority,0.005,"1,1",12,True,delivered,62,1,0
right_priority,0.005,"1,1",13,False,collision,232,3,0
right_priority,0.005,"1,1",14,False,timeout,350,7,0
right_priority,0.005,"1,29",0,True,delivered,74,3,0
right_priority,0.005,"1,29",1,False,collision,148,3,0
right_priority,0.005,"1,29",2,True,delivered,102,3,0
right_priority,0.005,"1,29",3,False,collision,87,3,0
right_priority,0.005,"1,29",4,True,delivered,81,0,0
right_priority,0.005,"1,29",5,False,collision,170,3,0
right_priority,0.005,"1,29",6,False,timeout,350,7,0
right_priority,0.005,"1,29",7,False,collision,199,4,0
right_priority,0.005,"1,29",8,True,delivered,152,3,0
right_priority,0.005,"1,29",9,False,timeout,350,12,4
right_priority,0.005,"1,29",10,True,delivered,61,4,0
right_priority,0.005,"1,29",11,False,collision,124,4,0
right_priority,0.005,"1,29",12,False,collision,66,1,0
right_priority,0.005,"1,29",13,False,collision,190,7,0
right_priority,0.005,"1,29",14,False,collision,259,6,0
right_priority,0.005,"29,1",0,True,delivered,132,1,0
right_priority,0.005,"29,1",1,True,delivered,177,6,0
right_priority,0.005,"29,1",2,False,collision,71,1,0
right_priority,0.005,"29,1",3,True,delivered,96,4,0
right_priority,0.005,"29,1",4,True,delivered,59,0,0
right_priority,0.005,"29,1",5,False,collision,272,7,0
right_priority,0.005,"29,1",6,False,collision,127,6,2
right_priority,0.005,"29,1",7,False,collision,50,2,0
right_priority,0.005,"29,1",8,False,collision,240,11,2
right_priority,0.005,"29,1",9,False,timeout,350,9,2
right_priority,0.005,"29,1",10,True,delivered,50,0,0
right_priority,0.005,"29,1",11,True,delivered,134,5,2
right_priority,0.005,"29,1",12,False,collision,222,5,0
right_priority,0.005,"29,1",13,True,delivered,106,3,0
right_priority,0.005,"29,1",14,False,collision,244,5,0
right_priority,0.01,"1,1",0,False,collision,142,2,0
right_priority,0.01,"1,1",1,False,collision,57,5,0
right_priority,0.01,"1,1",2,False,collision,22,2,0
right_priority,0.01,"1,1",3,False,collision,58,2,0
right_priority,0.01,"1,1",4,False,collision,72,2,0
