strategy,strategy_title,spawn_probability,episodes,successes,success_probability,avg_success_steps,median_success_steps,avg_spawned,collisions,timeouts,bot_crashes
right_priority,Правый поворот,0.005,45,14,0.3111111111111111,101.57142857142857,99.0,4.933333333333334,24,7,28
right_priority,Правый поворот,0.01,45,3,0.06666666666666667,247.33333333333334,239.0,8.533333333333333,39,3,114
right_priority,Правый поворот,0.02,45,4,0.08888888888888889,128.75,131.0,10.88888888888889,39,2,164
right_priority,Правый поворот,0.04,45,0,0.0,nan,nan,16.466666666666665,45,0,298
straight_priority,Прямое движение,0.005,45,16,0.35555555555555557,196.6875,191.0,5.4222222222222225,26,3,54
straight_priority,Прямое движение,0.01,45,7,0.15555555555555556,117.57142857142857,120.0,7.444444444444445,36,2,80
straight_priority,Прямое движение,0.02,45,5,0.1111111111111111,95.4,72.0,10.155555555555555,39,1,140
straight_priority,Прямое движение,0.04,45,3,0.06666666666666667,53.0,58.0,16.155555555555555,42,0,308
target_biased,Манхеттенское расстояние,0.005,45,39,0.8666666666666667,66.23076923076923,62.0,1.8666666666666667,6,0,8
target_biased,Манхеттенское расстояние,0.01,45,31,0.6888888888888889,61.54838709677419,61.0,3.577777777777778,14,0,28
target_biased,Манхеттенское расстояние,0.02,45,22,0.4888888888888889,58.0,57.5,6.222222222222222,23,0,42
target_biased,Манхеттенское расстояние,0.04,45,18,0.4,44.888888888888886,43.0,8.911111111111111,27,0,116
