scenario,repeat,api,adjusted_concurrency,success_rate,avg_ms
stable,1,127.0.0.1:60623/data,3,1.0,123.99
stable,1,127.0.0.1:60624/data,3,1.0,123.63
stable,1,127.0.0.1:60625/data,3,1.0,102.77
stable,2,127.0.0.1:60623/data,6,1.0,115.8
stable,2,127.0.0.1:60624/data,6,1.0,128.15
stable,2,127.0.0.1:60625/data,6,1.0,121.32
stable,3,127.0.0.1:60623/data,6,1.0,115.48
stable,3,127.0.0.1:60624/data,6,1.0,130.54
stable,3,127.0.0.1:60625/data,6,1.0,113.91
stable,4,127.0.0.1:60623/data,6,1.0,109.77
stable,4,127.0.0.1:60624/data,6,1.0,126.34
stable,4,127.0.0.1:60625/data,6,1.0,126.97
stable,5,127.0.0.1:60623/data,6,1.0,112.74
stable,5,127.0.0.1:60624/data,6,1.0,124.93
stable,5,127.0.0.1:60625/data,6,1.0,126.45
stable,6,127.0.0.1:60623/data,6,1.0,111.85
stable,6,127.0.0.1:60624/data,6,1.0,124.64
stable,6,127.0.0.1:60625/data,6,1.0,128.47
stable,7,127.0.0.1:60623/data,6,1.0,110.79
stable,7,127.0.0.1:60624/data,6,1.0,123.85
stable,7,127.0.0.1:60625/data,6,1.0,131.18
stable,8,127.0.0.1:60623/data,6,1.0,110.92
stable,8,127.0.0.1:60624/data,6,1.0,120.91
stable,8,127.0.0.1:60625/data,6,1.0,129.81
stable,9,127.0.0.1:60623/data,6,1.0,108.94
stable,9,127.0.0.1:60624/data,6,1.0,123.74
stable,9,127.0.0.1:60625/data,6,1.0,127.67
stable,10,127.0.0.1:60623/data,6,1.0,107.65
stable,10,127.0.0.1:60624/data,6,1.0,120.18
stable,10,127.0.0.1:60625/data,6,1.0,127.86
slow,1,127.0.0.1:60823/data,3,1.0,128.93
slow,1,127.0.0.1:60824/data,3,1.0,190.44
slow,1,127.0.0.1:60825/data,3,0.0,1199.81
slow,2,127.0.0.1:60823/data,6,1.0,116.43
slow,2,127.0.0.1:60824/data,6,1.0,165.23
slow,2,127.0.0.1:60825/data,1,0.0,1205.28
slow,3,127.0.0.1:60823/data,6,1.0,115.68
slow,3,127.0.0.1:60824/data,6,1.0,165.54
slow,3,127.0.0.1:60825/data,1,0.0,1203.78
slow,4,127.0.0.1:60823/data,6,1.0,125.15
slow,4,127.0.0.1:60824/data,6,1.0,161.2
slow,4,127.0.0.1:60825/data,1,0.0,1204.57
slow,5,127.0.0.1:60823/data,6,1.0,119.64
slow,5,127.0.0.1:60824/data,6,1.0,155.65
slow,5,127.0.0.1:60825/data,1,0.0,1205.46
slow,6,127.0.0.1:60823/data,6,1.0,117.82
slow,6,127.0.0.1:60824/data,6,1.0,152.99
slow,6,127.0.0.1:60825/data,1,0.0,1205.49
slow,7,127.0.0.1:60823/data,6,1.0,120.82
slow,7,127.0.0.1:60824/data,6,1.0,156.4
slow,7,127.0.0.1:60825/data,1,0.0,1206.22
slow,8,127.0.0.1:60823/data,6,1.0,123.25
slow,8,127.0.0.1:60824/data,6,1.0,155.73
slow,8,127.0.0.1:60825/data,1,0.0,1206.57
slow,9,127.0.0.1:60823/data,6,1.0,120.8
slow,9,127.0.0.1:60824/data,6,1.0,156.3
slow,9,127.0.0.1:60825/data,1,0.0,1205.66
slow,10,127.0.0.1:60823/data,6,1.0,123.86
slow,10,127.0.0.1:60824/data,6,1.0,153.19
slow,10,127.0.0.1:60825/data,1,0.0,1205.64
unstable,1,127.0.0.1:63881/data,3,1.0,145.48
unstable,1,127.0.0.1:63882/data,3,0.333,276.7
unstable,1,127.0.0.1:63883/data,3,1.0,389.72
unstable,2,127.0.0.1:63881/data,6,1.0,148.16
unstable,2,127.0.0.1:63882/data,1,0.667,265.48
unstable,2,127.0.0.1:63883/data,5,0.833,368.54
unstable,3,127.0.0.1:63881/data,6,1.0,144.05
unstable,3,127.0.0.1:63882/data,1,0.778,242.71
unstable,3,127.0.0.1:63883/data,5,0.778,346.37
unstable,4,127.0.0.1:63881/data,6,1.0,141.23
unstable,4,127.0.0.1:63882/data,1,0.667,248.26
unstable,4,127.0.0.1:63883/data,5,0.833,325.48
unstable,5,127.0.0.1:63881/data,6,1.0,144.45
unstable,5,127.0.0.1:63882/data,1,0.6,249.62
unstable,5,127.0.0.1:63883/data,5,0.733,335.06
unstable,6,127.0.0.1:63881/data,6,1.0,148.21
unstable,6,127.0.0.1:63882/data,1,0.667,243.49
unstable,6,127.0.0.1:63883/data,3,0.667,326.94
unstable,7,127.0.0.1:63881/data,6,1.0,156.91
unstable,7,127.0.0.1:63882/data,1,0.7,254.62
unstable,7,127.0.0.1:63883/data,1,0.6,341.63
unstable,8,127.0.0.1:63881/data,6,1.0,155.19
unstable,8,127.0.0.1:63882/data,1,0.75,268.51
unstable,8,127.0.0.1:63883/data,1,0.5,337.01
unstable,9,127.0.0.1:63881/data,6,1.0,160.69
unstable,9,127.0.0.1:63882/data,1,0.75,269.94
unstable,9,127.0.0.1:63883/data,1,0.45,349.49
unstable,10,127.0.0.1:63881/data,6,1.0,163.6
unstable,10,127.0.0.1:63882/data,1,0.7,283.91
unstable,10,127.0.0.1:63883/data,1,0.5,352.4
