scenario,strategy,repeat,total_time_ms,successful,failed,timeouts,concurrent_used
stable,fixed,1,418.38,9,0,0,3
stable,fixed,2,376.12,9,0,0,3
stable,fixed,3,452.36,9,0,0,3
stable,fixed,4,437.34,9,0,0,3
stable,fixed,5,390.12,9,0,0,3
stable,fixed,6,387.56,9,0,0,3
stable,fixed,7,405.33,9,0,0,3
stable,fixed,8,387.6,9,0,0,3
stable,fixed,9,344.27,9,0,0,3
stable,fixed,10,423.61,9,0,0,3
stable,timeout_race,1,140.88,9,0,0,9
stable,timeout_race,2,171.25,9,0,0,9
stable,timeout_race,3,171.17,9,0,0,9
stable,timeout_race,4,156.32,9,0,0,9
stable,timeout_race,5,141.37,9,0,0,9
stable,timeout_race,6,170.81,9,0,0,9
stable,timeout_race,7,185.38,9,0,0,9
stable,timeout_race,8,174.31,9,0,0,9
stable,timeout_race,9,157.4,9,0,0,9
stable,timeout_race,10,141.4,9,0,0,9
stable,adaptive,1,217.73,9,0,0,6
stable,adaptive,2,282.94,9,0,0,6
stable,adaptive,3,274.9,9,0,0,6
stable,adaptive,4,265.91,9,0,0,6
stable,adaptive,5,266.2,9,0,0,6
stable,adaptive,6,248.83,9,0,0,6
stable,adaptive,7,250.75,9,0,0,6
stable,adaptive,8,236.11,9,0,0,6
stable,adaptive,9,280.83,9,0,0,6
stable,adaptive,10,233.86,9,0,0,6
slow,fixed,1,1811.02,6,3,3,3
slow,fixed,2,1810.37,6,3,3,3
slow,fixed,3,1717.29,6,3,3,3
slow,fixed,4,1983.82,6,3,3,3
slow,fixed,5,1823.97,6,3,3,3
slow,fixed,6,1735.76,6,3,3,3
slow,fixed,7,1745.46,6,3,3,3
slow,fixed,8,1789.16,6,3,3,3
slow,fixed,9,1890.62,6,3,3,3
slow,fixed,10,1782.91,6,3,3,3
slow,timeout_race,1,1207.24,6,3,3,9
slow,timeout_race,2,1199.69,6,3,3,9
slow,timeout_race,3,1209.01,6,3,3,9
slow,timeout_race,4,1208.09,6,3,3,9
slow,timeout_race,5,1200.1,6,3,3,9
slow,timeout_race,6,1204.33,6,3,3,9
slow,timeout_race,7,1204.85,6,3,3,9
slow,timeout_race,8,1199.95,6,3,3,9
slow,timeout_race,9,1203.26,6,3,3,9
slow,timeout_race,10,1198.44,6,3,3,9
slow,adaptive,1,1356.63,6,3,3,6
slow,adaptive,2,1336.1,6,3,3,6
slow,adaptive,3,3604.08,6,3,3,6
slow,adaptive,4,3622.66,6,3,3,6
slow,adaptive,5,3628.76,6,3,3,6
slow,adaptive,6,3618.6,6,3,3,6
slow,adaptive,7,3626.63,6,3,3,6
slow,adaptive,8,3619.55,6,3,3,6
slow,adaptive,9,3604.37,6,3,3,6
slow,adaptive,10,3610.56,6,3,3,6
unstable,fixed,1,769.17,6,3,0,3
unstable,fixed,2,823.74,4,5,0,3
unstable,fixed,3,800.54,7,2,0,3
unstable,fixed,4,748.59,8,1,0,3
unstable,fixed,5,825.41,7,2,0,3
unstable,fixed,6,1027.27,7,2,0,3
unstable,fixed,7,921.58,7,2,0,3
unstable,fixed,8,748.67,4,5,0,3
unstable,fixed,9,762.25,5,4,0,3
unstable,fixed,10,827.15,6,3,0,3
unstable,timeout_race,1,420.56,5,4,0,9
unstable,timeout_race,2,390.81,8,1,0,9
unstable,timeout_race,3,451.55,7,2,0,9
unstable,timeout_race,4,440.11,4,5,0,9
unstable,timeout_race,5,359.62,7,2,0,9
unstable,timeout_race,6,345.64,7,2,0,9
unstable,timeout_race,7,329.75,7,2,0,9
unstable,timeout_race,8,440.35,7,2,0,9
unstable,timeout_race,9,343.48,7,2,0,9
unstable,timeout_race,10,405.71,4,5,0,9
unstable,adaptive,1,703.02,7,2,0,6
unstable,adaptive,2,561.73,8,1,0,6
unstable,adaptive,3,592.82,8,1,0,6
unstable,adaptive,4,795.83,7,2,0,6
unstable,adaptive,5,766.65,5,4,0,6
unstable,adaptive,6,641.1,7,2,0,6
unstable,adaptive,7,1040.04,6,3,0,6
unstable,adaptive,8,1124.28,7,2,0,6
unstable,adaptive,9,1216.25,7,2,0,6
unstable,adaptive,10,946.62,7,2,0,6
