algorithm,k,silhouette,wcss,bic,log_likelihood,training_time_sec
KMeans,2,0.4028054308434008,63690.74820819214,,,2.066684699999314
KMeans,3,0.41140814321599417,50629.46328280962,,,0.8366705000007642
KMeans,4,0.3399232685751112,46884.21944571042,,,0.9032048999997642
KMeans,5,0.3057106287811589,45702.1908786654,,,1.2802444999997533
KMeans,6,0.2600055820258839,42755.794357015504,,,2.1725970000006782
KMeans,7,0.2498956663569053,42029.96302679319,,,1.9515276000001904
KMeans,8,0.24592659946799322,41151.68864917343,,,1.3767698000010569
KMeans,9,0.20455493994796006,39639.63976908037,,,2.1118334000002505
KMeans,10,0.24419327141556985,39594.16165183299,,,2.0543871999998373
BisectingKMeans,2,0.3110146623370155,66134.28543819545,,,1.751376700000037
BisectingKMeans,3,0.3909998335366823,51319.20059713449,,,2.932796500001132
BisectingKMeans,4,0.3087395322166284,48327.79265619965,,,3.136230299998715
BisectingKMeans,5,0.27034611519626556,45455.47961191719,,,4.395372799999677
BisectingKMeans,6,0.26819541910906064,43496.06117821204,,,4.3104991000000155
BisectingKMeans,7,0.2148140568402857,41722.49877974988,,,4.4310764000001654
BisectingKMeans,8,0.19819219252085535,41049.48976869588,,,4.544278200000917
BisectingKMeans,9,0.19241839396411298,40138.10345620834,,,5.895605100000466
BisectingKMeans,10,0.16214513240076445,39661.92086227382,,,5.932729300000574
GaussianMixture,2,0.26687515376825843,,507047.1071035535,-243534.14089645128,2.7627405999992334
GaussianMixture,3,0.29649605221320674,,507288.029208926,-238657.68067410114,2.0219299999989744
GaussianMixture,4,0.25702898812455505,,448699.3102792163,-204366.39993420988,2.1841323999997257
GaussianMixture,5,0.37275913379180337,,514196.16920722096,-232117.9081231758,2.3435548999987077
GaussianMixture,6,0.22508112045216191,,522751.36523501214,-231398.58486203497,2.532476799999131
GaussianMixture,7,0.21576556876886455,,524814.7731141769,-227433.367526581,2.7431112000012945
GaussianMixture,8,0.23263943147586127,,530782.8580229961,-225420.48870595414,2.936472400000639
GaussianMixture,9,0.2091324171216776,,537193.0710111159,-223628.67392497763,3.1454347999988386
GaussianMixture,10,0.1435334843173217,,344980.5029170038,-122525.46860288516,3.3455575999996654
